Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-N43.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P10.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P11.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P12.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P13.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P14.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P15.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P16.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P17.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P18.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P19.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P20.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P21.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P22.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P23.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P24.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P25.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P26.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P27.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P28.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P29.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P30.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P31.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P32.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P33.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P34.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P35.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P36.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P37.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P38.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P39.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P40.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P41.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P42.mzML	D:\liuwei\20230227\LC_MS_20230227\2023022-LW-P43.mzML
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1													29552.7	59973.6	44972.9	26801.1	31881.1	23819.5	23050.3		7899.14	13371.3	14014.7	15497.3	26074.7	48679.3	24541.8	19925.9																			28049	31902.8	55475.3	16274.5	17867.1			35075.8		20728.8	33554.7		19916.1		18036.2	14285.6				25565.7		
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta									13106.2	44744.6	686976	3.43982e+06	2.69882e+06	1.81671e+06	1.21362e+06	601344	344295	219317	174449	185091	116491	78473.7	90349	73711.6	75125.3	66548.5	90922.8	115914	225317	158281	287073	349118	257424		160521		138565							161923	293117	3.39429e+06	2.42596e+06	2.46097e+06	1.58555e+06	934999	483732	284775	178959	80803.7		78826.5	62505.1		65162.7	117814	71772.3	120493	193828	210110	214836	413478	404602	158750
Q9NZN3	Q9H223;Q9NZN3	EHD3_HUMAN	EHD3	EH domain-containing protein 3													9221.84	20361.6	14360.6	17820.1		7744.82			4806.64																											20375.1	14006.1	15870.9	2666.21					31025.7	13726											
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2													24666.2								24044.6	35293.2	22160.5	64256.9																																87998.3	42394.7			29893.8	17093							
Q9NZN5	Q9NZN5	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12										16322.3		27950	18086.1		11441	9534.67	20087.6	32549.3	8548.18	51425.8	12963	11856.1	19088.8	10768.8	12721	9136.31		29204.3																							6390.75					41816.8	17733.4		8102.59	16582	21605.2	17505.1						
Q9NZN8	Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2		43195.3	18828.8	54649.9				40863	28060.2	37221.3	40621.3	13995.6		6819.02	4293.05	10535.3		7316.61		14909.5	7047.16	16303.1		4263.61		6678.83		19220																							8251.19																	
Q9NZP8	Q9NZP8	C1RL_HUMAN	C1RL	Complement C1r subcomponent-like protein		839105																	165739			16137.4					260568											394850				3.76446e+06	261540	302964	817618							461028	123602			46997.8	212017	937073	325750	372159	83988.4	269087	286125		1.0366e+06	2.40154e+06	728792	2.10611e+06
Q9NZQ3	Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain													9634.17	38675	55953.1	30165.5	19891.7	9355.4																														46497.8	32749.1	27008.9											3401.08							
Q9NZT1	Q9NZT1	CALL5_HUMAN	CALML5	Calmodulin-like protein 5	1.15297e+06	224551		109099		248217	235019	100449	46342.6	43024.1	66672.2	107983	82102.2	45692.5	42731.5	83111.6		10250										43188.5					265732	411838	745935	102571	177256	302624	574458	448215	413540	99479.5			177148	164169	123258	82475.8	35018.5	37234.5	20429.6		81387.4						44967.6		117153	78308.8		101276			352063	978864
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor				43971.5			72430.7	147429	43280.5	50549.7	54560.6	22371.6	43172	33048.5	24931.7	27311.2	20173.5	18561.8	13870.8	22441.8	19114.3	48553.4	76334.2	95064.7	109501	117982	93023.6	85156.2	110142	202316	123823	136174	137970										31244.3		66548	73152.1	42350	54509	27937.3	26774.2	34937.7					50981.4	100651	888684	134360	138329	92053.7	94489.4	150207	237050		64850.1		
Q9NZV6	Q9NZV6	MSRB1_HUMAN	MSRB1	Methionine-R-sulfoxide reductase B1		54684.3	18385.5							34799.2	79776.1	12185.4			3130.2		21309.2	6632.17																										64164.6		12031.9	15505			9151.91																		
Q9NZW5	Q9NZW5	PALS2_HUMAN	PALS2	Protein PALS2											25119.4	101668	141485	101663	88988.4	68856.2	48774.4	41897.9	32405.9		21424.6	24283.7	25495	11648.3	13518.2																					69789.3	75697.1	58508	62291.7	50022.8	27703.4					11207.1	98343.9			12708.5	9591.35							
Q9NZZ3	Q9NZZ3	CHMP5_HUMAN	CHMP5	Charged multivesicular body protein 5																								11041	26919.4	26049.2		34549																															26685.3	28147.1	54417.5	17878.7						
Q9P013	Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog																								6701.29	24492.1	24437.4	32376.1																																25779.9	33129.2	26470.5	25649.4	22827					
Q9P016	Q9P016	THYN1_HUMAN	THYN1	Thymocyte nuclear protein 1																						4420.03	6556.6		7007.82	13959.7		22646.1																												17783.2				62358	17337.2	50546.9	33211.3					
Q9P031	Q9P031	TAP26_HUMAN	CCDC59	Thyroid transcription factor 1-associated protein 26											24997.8										7536.06				18159.2	19279.7		22614.9	66904	157972	130999																																70400.3	108842	148460			
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin																21628.5	26553.2	20367.8	10555.1	21691	18505	18548.3	27893.1	9471.93	11631.3	9878.14		15843.7																					29940.9	29120.4	23689.5					26328.6												
Q9P0K8	Q9P0K8	FOXJ2_HUMAN	FOXJ2	Forkhead box protein J2															4158.86		1905.56	7501.85	6160.87	13104.5	10690.9	10701.7	11233	13616	10966.5	9991.33	7036.17	6455.78																		21130.8							6563.87	10210.7		6725.96	15733.2		15847.2		25739.6							
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A			166221	44464.8	38863.9				24550.6	23520	18216.5	70576.9	132429	111727	115847	23031.5	12888.8	12191.9	7384.3	19174.2	20911.6	18598	24057.6	13327.2		24230.3	23254.8	37495	28029.1																	48260.2	44198.8	141892	52236.8	27509.5	18073								8328.36	23458.1	23353.8	27108.1						
Q9P0P0	Q9P0P0	RN181_HUMAN	RNF181	E3 ubiquitin-protein ligase RNF181													8816.44			26085.1	18501.4	37106.3	37016.4	105904	61288.8	98068.2	307916	1.3465e+06	1.63612e+06	1.26395e+06	1.167e+06	1.17491e+06	1.17072e+06	831444	644189	170051	380044	533749													25466.5		13387.8	9764.38	23356.9	35336.8	28412.6	24751.3		92591.8	195768	2.64836e+06	1.49933e+06	2.17578e+06	1.17098e+06	1.0525e+06	1.18481e+06	870190	308369	109442	237127	135408
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10																8490.69	11356.1	25772.3	19928.3		21380.1			7039.63																										8413.68	29593.3		87431.4	91321.4		63802.5	46364.3		17608.7		20497.4	21771.9						
Q9P0W2	Q9P0W2	HM20B_HUMAN	HMG20B	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related										59520.1								8235.59	14429.4	42851.6	40965.7	51327	70989.2	56724.3	64250.9	55482.4	41826.9	64753.2	72867.8	69532.9	131273																						39625.8	45297.3		75118.5	46423.6		68145.4	54525.9	46580.6	61229.5	39191.7	74379.4	59993.3			
Q9P107	Q9P107	GMIP_HUMAN	GMIP	GEM-interacting protein																	5174.29				6637.15																																															
Q9P1Y5	Q9P1Y5	CAMP3_HUMAN	CAMSAP3	Calmodulin-regulated spectrin-associated protein 3			33788.8							20699.6	18017.3	14401.7	8365.25	11188.6																				82214												12944.7	4778.22				14487.4																	
Q9P1Y6	Q9H7N4;Q9P1Y6	PHRF1_HUMAN	PHRF1	PHD and RING finger domain-containing protein 1																						5283.59	8659.36	6751.47	12895.8		12897.2	18403.3																																	13594							
Q9P206	Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522	951796	118251	105270	95035.5				97052.8	67635.8	61807	80204.5	109738	97667.1	107835	88195.4	70486.2	41696.1	36862.8	40015.4	46714.3	24014.7	22748.7	29362.9	28261.7	47298.7	47172.3	71542.1	104319	171086	226901	114193	101564												94394.5	35712.2	48875.5	72881.5	46692.8	41602.3	46794.4	55188.6	38025.9	57323.2			24285.3	20120		27944.4	91414.9	83179.3	122663	186112	152458	141048	72485.1	109696	
Q9P246	Q9P246	STIM2_HUMAN	STIM2	Stromal interaction molecule 2															4294.06	9430.12	14667	10287.2	17764.3	20938.2	7685.14	7371.94	8322.27	6746.64	9408.06																								6994.76	18919.2	20427.7	25937.4		4997.68						11450.8	10005.9							
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2													27829.5	45030.7	47740.6	29987.4	23700.2	48477.9	48586.1	39631.3	75039.2	97725.2	131947	165792	229355	232571	212924	222074	203642	167429	218441	163688															29533.6	48980.5	43779.1	28749.7	29357	339035	237290	84219.7		128182	139076	1.16562e+06	188194	235983	253223	203143	265697	192498	371847		117310	
Q9P265	Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B															18410.7	9841.12	8767.04	10878		11813.9	17837.8	18191.7	24811.7	37457.4	49227.1	29721.2	19411.7																						13400.4	18572.4	8640.51			41116.1		31900.3	31699	115495	49449.4	15447.5	18195.7	29311.9						
Q9P275	Q9P275	UBP36_HUMAN	USP36	Ubiquitin carboxyl-terminal hydrolase 36											14895.1	14591.2	14558.2	15356.6	22680.2	22103.4	31565.4			36453.4		15879.3	25909.6	11900.2	33412.8	41095.7	54250.9	170107	322772	154065	196144																	4994.74	9961.11		17439								35103.7	32573	45179.7	82154.3	213808	172888	170973			
Q9P289	O00506;Q9P289;Q9Y6E0	STK26_HUMAN	STK26	Serine/threonine-protein kinase 26															5095.06	26002.5	12448.9	20070.3	21534.7		15983	17225.5	16096.1	13992.6	14222.3		60814.2	22088.4	58163.3	44169.7																32137.1		13678.8	9782.39		15200.3					23094.7				17478.7	27445.8	45759.6	48129.4	36134.5				
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator		128510	44183.9				45384.8	98581.3	133483	127604	96542.6	53463.9	26188.5	10224.5	9995.42	35864.7									1.26458e+06											210722						198147	91058.9	96825.5	68873.2	59890.1		12126.2	30918.1		3968.1																	
Q9P2B4	Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein									17671.2	23226.3	65686.9	20961	18332.9	18923.9	14976.9	13807.7	2652.03			14912.4				5788.35				15631.4	35187																					10332.1	8193.97									17711.2	21096.4	12038.9						
Q9P2B7	Q9P2B7	CFA97_HUMAN	CFAP97	Cilia- and flagella-associated protein 97																		9651		19574	10121	8928.19	15563.6	10503.9	8245.6	12349.6	24393	28832	40046.2																											11288			15069.4		21125.3	43402.2	42478.1	71181.7				
Q9P2D0	Q9P2D0	IBTK_HUMAN	IBTK	Inhibitor of Bruton tyrosine kinase															19309.4	55427	121769	150882		8500.15	33283	40118.2	44852.8	34950.1	29499.6	30804.7		77691.9																												62340.2	43846.2		22595.5	44023.9								
Q9P2D1	Q9P2D1	CHD7_HUMAN	CHD7	Chromodomain-helicase-DNA-binding protein 7		356126	315530	183562	197037	109430	145990	132223	111489	145003	158739	177551	90761	100850	62648.2	55370.4	60477	36295.1		417677	22439	5758.28		13381.9	8363.91	18548.4	39349.8	41751.1	67331.2							245428	231035					42805.6	90665.6	81552.6	147645	184241	118910	148290	82594.8	71462.8	15127.9								34594.6	20241.3	43311.8	89496.7	95551.9					
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1									57909.5									12041.4	11205.4	36438.1	21797.5	44797.8	77100.3	78637.9	60515.7	46277.6	29800.3	34013.8	59498.9																					13537				29572.3		41955.8	58647.7		54180.5	51725.2	41457.9	61468.2	55839.9					
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2													17123.5								9758.91	15218.2	27826.6	34570	50660.2	74092.9	75071.5	76865.1	57774.3	254929																											19455.7		32364.6	50166.1	48523.9	50469.7	46313.8		235635			
Q9P2J3	Q9P2J3;Q9P2N7	KLHL9_HUMAN	KLHL9	Kelch-like protein 9										30812.5	75149.4	56494.1	23082.2	14795.3	17063.6	20954.8	13934.2	12754.7			9059.5																								84297.1	99659	40112.4	30914.3	22566.8								12929.6											
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic										39663.4			12989.6	77663.8	112275	28629.5	26017.8	26268	45148.1	28247.7	16703.7	14988.7	19173.4	17111.4	16378.3	17677.5		20534.8	10272.7																			91556.8	111305	32556.7	27861.6					28467			33210.4	38353.5		33071.2						
Q9P2K3	Q9P2K3	RCOR3_HUMAN	RCOR3	REST corepressor 3																	16827	23153.3	43000	45578.6	39921.3	33692.8	35161.7	38799.1	37797.9	34799.2	23946.9	25155.7	49721.2																						8305.66		54646.3	29300.9		52670.1	34465.8		30057.1		39524							
Q9P2K8	Q9P2K8	E2AK4_HUMAN	EIF2AK4	eIF-2-alpha kinase GCN2												8805.41	6383.54	4038.94	2919.93																																	3247.58													8116.19							
Q9P2M7	Q9P2M7	CING_HUMAN	CGN	Cingulin																										29396.6	53217.4	43745.6	40751.7																															38338.3	55581.9	45697.8						
Q9P2N5	Q9P2N5	RBM27_HUMAN	RBM27	RNA-binding protein 27		593855	799625	1.15283e+06	1.42575e+06	1.3392e+06	1.03e+06	838963	285599	321247	141325	168736	113139	179316	255931	596229	311447	234129	201563	296771	174576	197571	286078	435117	584108	683380	629501	642377	605615	723856	632575	754515	284286	966335		333509	813278	1.02125e+06	1.80805e+06	1.17023e+06	652667	646848	485486	238116	311466	114670	131121	119840	322643	548203	393123	262710	140149	134921		161060	183315	832730	643619	964346	926630	684671	717466	676406	724223	649666	347932	447192
Q9P2N7	Q9P2N7	KLH13_HUMAN	KLHL13	Kelch-like protein 13												14848.9																																		35787.5		6910.45																				
Q9P2P5	Q9P2P5	HECW2_HUMAN	HECW2	E3 ubiquitin-protein ligase HECW2			333022										138366				6558.88	38113.6	22114.6	31353	19310.4	18008.1	33287.9	44533.8	64732	65232.4	62341.6	68350.4	108890	63912.9																										46415.4	51430.5		40583.3	80106.2	64563.4	74025.2						
Q9P2Q2	Q9P2Q2	FRM4A_HUMAN	FRMD4A	FERM domain-containing protein 4A		37221.3	166788	54171.4	200532	220249	133890	161376	48566.5	97621.9	70754.4	66229.9	75099.6	60219.7	55741.9	45745.5	36636.8	45640.1	72697.5	146685	71213.5	80681	88977.5	47732	51791	32069.8	29695	49176.4	109341	55651.7	88675.2											123574	120681	98006.6	67217.6	100123	95714	70499.6	61833.3	59497.6	36599.2		32710	32835.7		52246.6	64177.1	164154	33858	56817.7	47129.6	59125.1	112766	235356	102588			
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5															173982				10188.7	138701	266587	157731	104420	59081.1	42211.6	50153	41365.9	53952.2	63030.9																						15638			105025		116119	56267.4		29713.8	174120	43857	29700.1	85596					
Q9P2R6	Q9P2R6	RERE_HUMAN	RERE	Arginine-glutamic acid dipeptide repeats protein					120693						31638.2	74926.6	38066.8	29822.7	20076.6	20454.5	16577.6	11562.8	14468.9	50327.8	21213	23085.6	46740.8	33759.1	51335.4	39435.1	32587.4	29914.8	42784.2		57450.7															47049.4	24119.1	22894.8	33682.2	43288.5	16085.5					23146.6	24101.7		44652.1	53509.1	20903.7	34765.2	81854.4					
Q9P2T1	Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2															119563	113077	679131	372593	69986.9	53353.2	33660.1	29703.5	35485.4	80737.9	68595.3	35385							229446															631735	20057	77377.5	518366	85284.8	85647.8	65873.5		57203.7	274657		121621	38376.8	70884.2						147811	211931
Q9UBB5	Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2																								7971.05	13627	21837.8	20846	25355.4	27216.1	28790.4																													15522.7	32309.3	18122.1	13403.4	45415.9	52456.6				
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1										7743.67		20928.8	23178.4	37595.6	37110.3	43355.2	31065.8	44740.2	25117.4	47777.9	18009.4	14632.6	16503.9	12254.3	26334.6	25397.7																				11056.8	15609.3	27490.8	33821	33704.5	34093.9					26588					7709.07						19811.9	
Q9UBC9	Q9UBC9	SPRR3_HUMAN	SPRR3	Small proline-rich protein 3					369372																																																															
Q9UBD5	Q9UBD5	ORC3_HUMAN	ORC3	Origin recognition complex subunit 3										72733	77609.7	13332.4	36381	7758.78			16595.1	23526.5	25240.3	18098.9	37676	34607.8	29801.9	25700.2	35394.8	29532.6	18157.7	19480.5																							12832.5			29032.3		33557.7	26191.2		18492.7		16315.4							
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1																	5220.06				7861.34	13918.3	11159.2	4452.29																										5626.46	6076.16					44456.8	38762.9					18150.3						
Q9UBF6	Q9UBF6	RBX2_HUMAN	RNF7	RING-box protein 2																17115.7	34917	41208.7	40203.7		15338.2	16499.3																												19872	19056.1																	
Q9UBI9	Q9UBI9	HDC_HUMAN	HECA	Headcase protein homolog									12087.8		4019.15	11930.3	11126.2	7837.68	6456.62						6254.09	9081.97	8294.13					5604.96																																								
Q9UBK8	Q9UBK8	MTRR_HUMAN	MTRR	Methionine synthase reductase	1.59463e+06	248532				218824					27436.7	35959.7	31801.1	26994	43575	313707	853790	527849	249198	91592	69592.5	53585.1	44035.4	37778.6	61325.9	51639.7	53028.4	16446.7	43093.9		37397.8		277664	82738.8												19702.3	29059	44559.5	83935.1	481997	1.80113e+06	230572	412159	134338		96650	60246.7		100175	59693.6	58829.4	33940.3	61995.7		113817	133364	87643.8	77872.1
Q9UBK9	Q9UBK9	UXT_HUMAN	UXT	Protein UXT																										63663.1	67447.3	35392.8																																23832.5	42832.1							
Q9UBL3	Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2												9545.92							19953.8	46199.7	200928	204366	115509	75703.5	73309.4	71395.3	51116.7	49276.1	74781.4																									32276.7		180520	127740		53219.9	25722.8	36095.9		119572					
Q9UBP0	Q9UBP0	SPAST_HUMAN	SPAST	Spastin											20714.3	45192.6		13458.6	19754.7	34142.1	16843.9	34512.9	77840.9	107627	48744.3	21247.4	19171.6	7402.25	8983.62			11470.9	8821.65							187069		174239									105240	28119.3	28953.9	52546.4	34991.2	45439.5	110830	77482.3		40299.6	54040.3					36997.8	177393		63824.5			
Q9UBP6	Q9UBP6	TRMB_HUMAN	METTL1	tRNA (guanine-N(7)-)-methyltransferase		385568	422604	441818	432436	539427	260551	192589	123068	22980.6		120666	46969.9	129608	67225.5	40495.3	27934.8	47955.8	130847	282048	309757	558651	1.66641e+06	983686	1.01528e+06	348973	190621	137571	184818	337933	502085	302875	162862	147097		494614	370716	417532						101998		119333		19746.9	37240	43668.8	38178.5	134320	82094	138729		457674	894361	2.99792e+06	695738	310730	113942	98566.8	181489	168295	369838	144086		
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29		240973	214795	283824	232020	152737	210390	129566	38963.6	24757.4	24447.3	20301	16120.6				20715.8	70954.5	53856.1	13386	16637.1	12798.1	11781.1	8514.37	7288.03	13902.7										300579	299468	672179	400325	563128	255363	154796	88727.2	10629.5		21557.7			4655.56		38537.7	12559.5	34896	29271		14050.3	10199.3			10949.5	14589.4							
Q9UBQ5	Q9UBQ5	EIF3K_HUMAN	EIF3K	Eukaryotic translation initiation factor 3 subunit K													12306.3										11677			15237.9	30458.9	78299.4	52541.5																											28264.2				27499.6	56818.5	86734.8	84053.7					
Q9UBQ7	Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase		114910	109385	380550	130508	85369.2	319653	40084.4	20459.3	35023.6	36025.1	34805.8	20156.2	18237	5074.05			6685.81																		367116	92968.2	1.22761e+06			713840					42650.7	22968.6	15045.6	31129.1		11511.3																	
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z		90344.8		84793.3	75993.5		75125	100112	61019.4	30009.5	31769.8	64475.3	122055	150207	130585	122302	87382.5	79754.9	71221.8	55907.3	29824.3	23878	27217.1	22507.6	22300.6	29217.4	13249	29155.8	27601				51879.1		168910	660771	375281	197278	173781		176987	180545	73597	77661.5	73229.6	256755	564004	734403	713185	451880	369615	126937	140074	67786.1		92690.1	55975.7		76603.7	87788.8	67417.1	113678	45912.7	90044.3	137495	289400	91187.6	
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	350673	78142	110425	92301.2	95991.6	102751	114296	44491.7	42763	61874	93328.3	93686.3	158333	148095	163828	179660	153787	114855	91231.8	90235	101515	80146.1	104390	121925	113910	123068	152499	195717	148524	62902.5	128363	256887	1.05602e+06	732857										35872.5	41499.7	98111.7	92946.5	109011	135468	152281	119677	58491.9	226285	70051.3		78989.5	102624	557982	102405	157532	138178	128070	125896	65742.5	113524	148518	1.12112e+06	1.35361e+06
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2								20091.8													14649.2	14387.7	14397	25244.5	6454.39	8930.05																														30295.6	24754.1								56906.2			
Q9UBU8	Q9UBU8	MO4L1_HUMAN	MORF4L1	Mortality factor 4-like protein 1																						4949.33	9102.03	13715.6	25456.8	15582.7	57447.9	46511.7	26629.8																														15205.3		12736.7	46751.8	64616.9					
Q9UBU9	Q9UBU9	NXF1_HUMAN	NXF1	Nuclear RNA export factor 1																	13995.8	7342.78				15568.8	11798.6	22274.1	34683.7	11222.1																								7416.94									25686.2									
Q9UBW7	Q9UBW7	ZMYM2_HUMAN	ZMYM2	Zinc finger MYM-type protein 2												22397.6	5993.93	20116.5	17662.2	33911.5	11965.2																																		12402.8																	
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a																5324.73					3504.85			13380.7	18394	12837.8	19926.4	25986.4																																14392.4	29915.9	53023.3						
Q9UDY2	Q9UDY2	ZO2_HUMAN	TJP2	Tight junction protein ZO-2		151299	154638	134928	128189	63479.6	99645.6	140872	149993	199966	341930	331371	289268	179974	104289	125985	117405	92518.6	100300	101628	73627	83627.6	113724	158874	213566	265496	392419	562731	534667	438040	442326	422652	175782	793228										60018.2	30319.4	183020	100870	81331.7	54329.7	68188.2	70741	57779.3	31970.1	45483.5		61496.4	64766.2	779827	135073	249934	278136	375393	416047	339900	281463	315736	154113	199441
Q9UDY4	Q9UDY4	DNJB4_HUMAN	DNAJB4	DnaJ homolog subfamily B member 4										13768.3			26129	16444	23605.6	14086.2	7219.97		6897.47			7728.41		4419.15		16900.1																				20635.4	18929.5	30443.2	32975.6		36931																	
Q9UDY8	Q9UDY8	MALT1_HUMAN	MALT1	Mucosa-associated lymphoid tissue lymphoma translocation protein 1																11604.9	26004.4	35678.6	37598	58637.7	28403.9	22367.8	26416.8	23307.7	28980.1	20248.4	27407	19394.6																			26855			15674.4	37620.7	71230	139712	95363.8		68372.4	45981.9		60011.4	39757.4	47983.5	26331.8	50100.2	56703.6			85849.9	
Q9UEE9	Q9UEE9	CFDP1_HUMAN	CFDP1	Craniofacial development protein 1																												27108.2	64156.4	123859	104185																													21467.2	22822.7	68436.2	225501	197146	162841			
